withAdapter,/data/all/data/foam-framework/foam,0.39,13,33,07-05-2022_00-34-43,t5-large,/scratch/arminz//tmp/adapted_large/,repo-based-included
withAdapter,all,0.44,52,3529,07-05-2022_00-37-51,t5-large,/scratch/arminz//tmp/adapted_large/,source-test
normal,/data/all/data/qooxdoo/qooxdoo,0.52,18,115,22-04-2022_15-23-38,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/qooxdoo/qooxdoo_0_1,repo-based-included
normal,all,0.77,32,1746,22-04-2022_15-26-36,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/qooxdoo/qooxdoo_0_1,source-test
normal,/data/all/data/elastic/kibana,0.45,17,51,22-04-2022_15-52-08,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/elastic/kibana_0_1,repo-based-included
normal,all,0.85,32,1746,22-04-2022_15-54-18,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/elastic/kibana_0_1,source-test
normal,/data/all/data/emberjs/ember.js,0.49,11,47,22-04-2022_16-19-36,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/emberjs/ember.js_0_1,repo-based-included
normal,all,0.84,32,1746,22-04-2022_16-21-19,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/emberjs/ember.js_0_1,source-test
normal,/data/all/data/zloirock/core-js,0.29,8,41,22-04-2022_16-46-39,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/zloirock/core-js_0_1,repo-based-included
normal,all,0.80,32,1746,22-04-2022_16-48-27,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/zloirock/core-js_0_1,source-test
normal,/data/all/data/Encapsule-Annex/onm,0.79,1,39,22-04-2022_17-11-50,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/Encapsule-Annex/onm_0_1,repo-based-included
normal,all,0.89,32,1746,22-04-2022_17-13-16,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/Encapsule-Annex/onm_0_1,source-test
normal,/data/all/data/sequelize/sequelize,0.30,12,40,22-04-2022_17-38-58,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/sequelize/sequelize_0_1,repo-based-included
normal,all,0.85,32,1746,22-04-2022_17-40-56,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/sequelize/sequelize_0_1,source-test
normal,/data/all/data/dcos/dcos-ui,0.73,9,37,22-04-2022_18-05-40,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/dcos/dcos-ui_0_1,repo-based-included
normal,all,0.88,32,1746,22-04-2022_18-07-11,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/dcos/dcos-ui_0_1,source-test
normal,/data/all/data/LivelyKernel/LivelyKernel,0.56,12,36,22-04-2022_18-32-37,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/LivelyKernel/LivelyKernel_0_1,repo-based-included
normal,all,0.83,32,1746,22-04-2022_18-34-26,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/LivelyKernel/LivelyKernel_0_1,source-test
normal,/data/all/data/svgdotjs/svg.js,0.10,5,31,22-04-2022_18-58-59,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/svgdotjs/svg.js_0_1,repo-based-included
normal,all,0.88,32,1746,22-04-2022_19-00-27,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/svgdotjs/svg.js_0_1,source-test
normal,/data/all/data/foam-framework/foam,0.30,13,33,22-04-2022_19-27-15,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/foam-framework/foam_0_1,repo-based-included
normal,all,0.82,32,1746,25-04-2022_11-22-00,t5-large,/scratch/arminz/tmp/ftl2_/data/all/data/foam-framework/foam_0_1,source-test
normal,/data/all/data/qooxdoo/qooxdoo,0.47,18,115,31-05-2022_05-06-52,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_conf,repo-based-included,2022-05-31 05:06:52.754846, 2022-05-31 05:07:41.954338, 2022-05-31 05:09:14.858397, 2022-05-31 05:09:14.860938
normal,all,0.48,52,3529,31-05-2022_05-09-40,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_conf,source-test,2022-05-31 05:09:40.772989, 2022-05-31 05:14:04.615348, 2022-05-31 05:48:45.798281, 2022-05-31 05:48:45.800263
normal,/data/all/data/zloirock/core-js,0.37,8,41,31-05-2022_05-53-11,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_conf,repo-based-included,2022-05-31 05:53:11.797748, 2022-05-31 05:54:00.197635, 2022-05-31 05:54:38.275982, 2022-05-31 05:54:38.280757
normal,all,0.47,52,3529,31-05-2022_05-55-08,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_conf,source-test,2022-05-31 05:55:08.790944, 2022-05-31 05:59:06.690278, 2022-05-31 06:33:57.398699, 2022-05-31 06:33:57.401387
normal,/data/all/data/emberjs/ember.js,0.53,11,47,31-05-2022_06-37-45,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_conf,repo-based-included,2022-05-31 06:37:45.523219, 2022-05-31 06:38:32.965291, 2022-05-31 06:39:21.888235, 2022-05-31 06:39:21.890202
normal,all,0.48,52,3529,31-05-2022_06-39-48,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_conf,source-test,2022-05-31 06:39:48.391311, 2022-05-31 06:43:53.499411, 2022-05-31 07:18:41.763554, 2022-05-31 07:18:41.765808
normal,/data/all/data/foam-framework/foam,0.39,13,33,31-05-2022_07-22-43,t5-large,/scratch/arminz/tmp/currl_/data/all/data/foam-framework/foam_conf,repo-based-included,2022-05-31 07:22:43.224391, 2022-05-31 07:23:58.234560, 2022-05-31 07:24:44.779488, 2022-05-31 07:24:44.781574
normal,all,0.48,52,3529,31-05-2022_07-25-21,t5-large,/scratch/arminz/tmp/currl_/data/all/data/foam-framework/foam_conf,source-test,2022-05-31 07:25:21.475609, 2022-05-31 07:29:21.237666, 2022-05-31 08:04:46.143442, 2022-05-31 08:04:46.147994
normal,/data/all/data/elastic/kibana,0.49,17,51,31-05-2022_08-09-11,t5-large,/scratch/arminz/tmp/currl_/data/all/data/elastic/kibana_conf,repo-based-included,2022-05-31 08:09:11.542046, 2022-05-31 08:10:00.361717, 2022-05-31 08:10:57.890219, 2022-05-31 08:10:57.893063
